Test URL (url),Report Suite (rs),Status Code (status),Media Player Name (playerName),Video Name (name),Video Length (length),Page Name (pageName),Site Section (ch),Server (server),Hit Type (v1),Timestamp (v2),Pageview ID (v3),Adobe Analytics ID (v5),Google Analytics ID (v6),Page Domain (v14),Page Path (v15),Procore ID (v35),Procore User Type (v36),Events (events),Video View (event24),Video Play (event25),Video Pause (event26),Video Complete (event27),Video Time Played (event28),Video 10% Watched (event29),Video 25% Watched (event30),Video 50% Watched (event31),Video 75% Watched (event32),Video 95% Watched (event33)
https://stg.procore.com/en-ca/demo,procorestaging,200,Wistia,Mizrahi Developments and Clark Construction Management Found Procore to Build The One ,45.88,stg.procore.com|CA|Marketing|Demo,,,Video Event,2019-07-31T10:24:21.606-07:00,4242261405,03759229316241837563377248437565792649,1436868568.1564593685,stg.procore.com,/en-ca/demo,testid-1234567890,Customer/Collaborator,,1,1,,,,,,,,
https://stg.procore.com/en-ca/demo,procorestaging,200,Wistia,Mizrahi Developments and Clark Construction Management Found Procore to Build The One ,45.88,stg.procore.com|CA|Marketing|Demo,,,Video Event,2019-07-31T10:24:23.632-07:00,4242261405,03759229316241837563377248437565792649,1436868568.1564593685,stg.procore.com,/en-ca/demo,testid-1234567890,Customer/Collaborator,,,,1,,1,,,,,
https://stg.procore.com/en-ca/demo,procorestaging,200,Wistia,Mizrahi Developments and Clark Construction Management Found Procore to Build The One ,45.88,stg.procore.com|CA|Marketing|Demo,,,Video Event,2019-07-31T10:24:28.726-07:00,4242261405,03759229316241837563377248437565792649,1436868568.1564593685,stg.procore.com,/en-ca/demo,testid-1234567890,Customer/Collaborator,,,1,,,,,,,,
https://stg.procore.com/en-ca/demo,procorestaging,200,Wistia,Mizrahi Developments and Clark Construction Management Found Procore to Build The One ,45.88,stg.procore.com|CA|Marketing|Demo,,,Video Event,2019-07-31T10:24:31.661-07:00,4242261405,03759229316241837563377248437565792649,1436868568.1564593685,stg.procore.com,/en-ca/demo,testid-1234567890,Customer/Collaborator,,,,,,3,1,,,,
https://stg.procore.com/en-ca/demo,procorestaging,200,Wistia,Mizrahi Developments and Clark Construction Management Found Procore to Build The One ,45.88,stg.procore.com|CA|Marketing|Demo,,,Video Event,2019-07-31T10:24:38.678-07:00,4242261405,03759229316241837563377248437565792649,1436868568.1564593685,stg.procore.com,/en-ca/demo,testid-1234567890,Customer/Collaborator,,,,,,7,,1,,,
https://stg.procore.com/en-ca/demo,procorestaging,200,Wistia,Mizrahi Developments and Clark Construction Management Found Procore to Build The One ,45.88,stg.procore.com|CA|Marketing|Demo,,,Video Event,2019-07-31T10:24:49.693-07:00,4242261405,03759229316241837563377248437565792649,1436868568.1564593685,stg.procore.com,/en-ca/demo,testid-1234567890,Customer/Collaborator,,,,,,11,,,1,,
https://stg.procore.com/en-ca/demo,procorestaging,200,Wistia,Mizrahi Developments and Clark Construction Management Found Procore to Build The One ,45.88,stg.procore.com|CA|Marketing|Demo,,,Video Event,2019-07-31T10:25:01.705-07:00,4242261405,03759229316241837563377248437565792649,1436868568.1564593685,stg.procore.com,/en-ca/demo,testid-1234567890,Customer/Collaborator,,,,,,12,,,,1,
https://stg.procore.com/en-ca/demo,procorestaging,200,Wistia,Mizrahi Developments and Clark Construction Management Found Procore to Build The One ,45.88,stg.procore.com|CA|Marketing|Demo,,,Video Event,2019-07-31T10:25:10.722-07:00,4242261405,03759229316241837563377248437565792649,1436868568.1564593685,stg.procore.com,/en-ca/demo,testid-1234567890,Customer/Collaborator,,,,,,9,,,,,1
https://stg.procore.com/en-ca/demo,procorestaging,200,Wistia,Mizrahi Developments and Clark Construction Management Found Procore to Build The One ,45.88,stg.procore.com|CA|Marketing|Demo,,,Video Event,2019-07-31T10:25:12.730-07:00,4242261405,03759229316241837563377248437565792649,1436868568.1564593685,stg.procore.com,/en-ca/demo,testid-1234567890,Customer/Collaborator,,,,,1,2,,,,,
https://stg.procore.com/en-ca/demo,procorestaging,200,Wistia,Mizrahi Developments and Clark Construction Management Found Procore to Build The One ,45.88,stg.procore.com|CA|Marketing|Demo,,,Video Event,2019-07-31T10:25:43.42-07:00,2925852586,03759229316241837563377248437565792649,1436868568.1564593685,stg.procore.com,/en-ca/demo,testid-1234567890,Customer/Collaborator,,1,1,,,,,,,,
https://stg.procore.com/en-ca/demo,procorestaging,200,Wistia,Mizrahi Developments and Clark Construction Management Found Procore to Build The One ,45.88,stg.procore.com|CA|Marketing|Demo,,,Video Event,2019-07-31T10:25:46.813-07:00,2925852586,03759229316241837563377248437565792649,1436868568.1564593685,stg.procore.com,/en-ca/demo,testid-1234567890,Customer/Collaborator,,,,1,,3,,,,,
https://stg.procore.com/en-ca/demo,procorestaging,200,Wistia,Mizrahi Developments and Clark Construction Management Found Procore to Build The One ,45.88,stg.procore.com|CA|Marketing|Demo,,,Video Event,2019-07-31T10:25:51.885-07:00,2925852586,03759229316241837563377248437565792649,1436868568.1564593685,stg.procore.com,/en-ca/demo,testid-1234567890,Customer/Collaborator,,,1,,,,,,,,
https://stg.procore.com/en-ca/demo,procorestaging,200,Wistia,Mizrahi Developments and Clark Construction Management Found Procore to Build The One ,45.88,stg.procore.com|CA|Marketing|Demo,,,Video Event,2019-07-31T10:25:53.61-07:00,2925852586,03759229316241837563377248437565792649,1436868568.1564593685,stg.procore.com,/en-ca/demo,testid-1234567890,Customer/Collaborator,,,,,,1,1,,,,
https://stg.procore.com/en-ca/demo,procorestaging,200,Wistia,Mizrahi Developments and Clark Construction Management Found Procore to Build The One ,45.88,stg.procore.com|CA|Marketing|Demo,,,Video Event,2019-07-31T10:26:00.74-07:00,2925852586,03759229316241837563377248437565792649,1436868568.1564593685,stg.procore.com,/en-ca/demo,testid-1234567890,Customer/Collaborator,,,,,,7,,1,,,
https://stg.procore.com/en-ca/demo,procorestaging,200,Wistia,Mizrahi Developments and Clark Construction Management Found Procore to Build The One ,45.88,stg.procore.com|CA|Marketing|Demo,,,Video Event,2019-07-31T10:26:11.90-07:00,2925852586,03759229316241837563377248437565792649,1436868568.1564593685,stg.procore.com,/en-ca/demo,testid-1234567890,Customer/Collaborator,,,,,,11,,,1,,
https://stg.procore.com/en-ca/demo,procorestaging,200,Wistia,Mizrahi Developments and Clark Construction Management Found Procore to Build The One ,45.88,stg.procore.com|CA|Marketing|Demo,,,Video Event,2019-07-31T10:26:23.105-07:00,2925852586,03759229316241837563377248437565792649,1436868568.1564593685,stg.procore.com,/en-ca/demo,testid-1234567890,Customer/Collaborator,,,,,,12,,,,1,
https://stg.procore.com/en-ca/demo,procorestaging,200,Wistia,Mizrahi Developments and Clark Construction Management Found Procore to Build The One ,45.88,stg.procore.com|CA|Marketing|Demo,,,Video Event,2019-07-31T10:26:32.121-07:00,2925852586,03759229316241837563377248437565792649,1436868568.1564593685,stg.procore.com,/en-ca/demo,testid-1234567890,Customer/Collaborator,,,,,,9,,,,,1
https://stg.procore.com/en-ca/demo,procorestaging,200,Wistia,Mizrahi Developments and Clark Construction Management Found Procore to Build The One ,45.88,stg.procore.com|CA|Marketing|Demo,,,Video Event,2019-07-31T10:26:34.132-07:00,2925852586,03759229316241837563377248437565792649,1436868568.1564593685,stg.procore.com,/en-ca/demo,testid-1234567890,Customer/Collaborator,,,,,1,2,,,,,
https://stg.procore.com/demo?nb-transaction-token=NBPOE-TXN-5d41cf897c084&nb-confirmation-token=26759a7cc4f8d9a723b88c81dee3be19&nb-result=valid&FirstName=Josh&LastName=Bradley&Email=joshua.bradley%2Badobetest%40procore.com&Phone=1234567890&Company=Procore&Country=Bahamas&utm_campaign__c=&utm_content__c=&utm_medium__c=&utm_source__c=&utm_term__c=&formid=4876&munchkinId=788-HIQ-636&gAClientID=,procorestaging,200,Wistia,Field Teams - Why Procore?,141.06,stg.procore.com|US|Marketing|Demo,,,Video Event,2019-07-31T10:27:40.951-07:00,7820266949,03759229316241837563377248437565792649,1436868568.1564593685,stg.procore.com,/demo,testid-1234567890,Customer/Collaborator,,1,1,,,,,,,,
https://stg.procore.com/demo?nb-transaction-token=NBPOE-TXN-5d41cf897c084&nb-confirmation-token=26759a7cc4f8d9a723b88c81dee3be19&nb-result=valid&FirstName=Josh&LastName=Bradley&Email=joshua.bradley%2Badobetest%40procore.com&Phone=1234567890&Company=Procore&Country=Bahamas&utm_campaign__c=&utm_content__c=&utm_medium__c=&utm_source__c=&utm_term__c=&formid=4876&munchkinId=788-HIQ-636&gAClientID=,procorestaging,200,Wistia,Field Teams - Why Procore?,141.06,stg.procore.com|US|Marketing|Demo,,,Video Event,2019-07-31T10:27:44.861-07:00,7820266949,03759229316241837563377248437565792649,1436868568.1564593685,stg.procore.com,/demo,testid-1234567890,Customer/Collaborator,,,,1,,3,,,,,
https://stg.procore.com/demo?nb-transaction-token=NBPOE-TXN-5d41cf897c084&nb-confirmation-token=26759a7cc4f8d9a723b88c81dee3be19&nb-result=valid&FirstName=Josh&LastName=Bradley&Email=joshua.bradley%2Badobetest%40procore.com&Phone=1234567890&Company=Procore&Country=Bahamas&utm_campaign__c=&utm_content__c=&utm_medium__c=&utm_source__c=&utm_term__c=&formid=4876&munchkinId=788-HIQ-636&gAClientID=,procorestaging,200,Wistia,Field Teams - Why Procore?,141.06,stg.procore.com|US|Marketing|Demo,,,Video Event,2019-07-31T10:27:49.988-07:00,7820266949,03759229316241837563377248437565792649,1436868568.1564593685,stg.procore.com,/demo,testid-1234567890,Customer/Collaborator,,,1,,,,,,,,
https://stg.procore.com/demo?nb-transaction-token=NBPOE-TXN-5d41cf897c084&nb-confirmation-token=26759a7cc4f8d9a723b88c81dee3be19&nb-result=valid&FirstName=Josh&LastName=Bradley&Email=joshua.bradley%2Badobetest%40procore.com&Phone=1234567890&Company=Procore&Country=Bahamas&utm_campaign__c=&utm_content__c=&utm_medium__c=&utm_source__c=&utm_term__c=&formid=4876&munchkinId=788-HIQ-636&gAClientID=,procorestaging,200,Wistia,Field Teams - Why Procore?,141.06,stg.procore.com|US|Marketing|Demo,,,Video Event,2019-07-31T10:28:01.17-07:00,7820266949,03759229316241837563377248437565792649,1436868568.1564593685,stg.procore.com,/demo,testid-1234567890,Customer/Collaborator,,,,,,11,1,,,,
https://stg.procore.com/demo?nb-transaction-token=NBPOE-TXN-5d41cf897c084&nb-confirmation-token=26759a7cc4f8d9a723b88c81dee3be19&nb-result=valid&FirstName=Josh&LastName=Bradley&Email=joshua.bradley%2Badobetest%40procore.com&Phone=1234567890&Company=Procore&Country=Bahamas&utm_campaign__c=&utm_content__c=&utm_medium__c=&utm_source__c=&utm_term__c=&formid=4876&munchkinId=788-HIQ-636&gAClientID=,procorestaging,200,Wistia,Field Teams - Why Procore?,141.06,stg.procore.com|US|Marketing|Demo,,,Video Event,2019-07-31T10:28:22.37-07:00,7820266949,03759229316241837563377248437565792649,1436868568.1564593685,stg.procore.com,/demo,testid-1234567890,Customer/Collaborator,,,,,,21,,1,,,
https://stg.procore.com/tour,procorestaging,200,Wistia,Guided Tour Overview,48.004,stg.procore.com|US|Marketing|Tour,,,Video Event,2019-07-31T10:35:27.647-07:00,4163750665,03759229316241837563377248437565792649,1436868568.1564593685,stg.procore.com,/tour,testid-1234567890,Customer/Collaborator,,1,1,,,,,,,,
https://stg.procore.com/tour,procorestaging,200,Wistia,Guided Tour Overview,48.004,stg.procore.com|US|Marketing|Tour,,,Video Event,2019-07-31T10:35:32.661-07:00,4163750665,03759229316241837563377248437565792649,1436868568.1564593685,stg.procore.com,/tour,testid-1234567890,Customer/Collaborator,,,,,,5,1,,,,
