Test URL (url),Report Suite (rs),Status Code (status),Page Name (pageName),Site Section (ch),Server (server),Hit Type (v1),Timestamp (v2),Pageview ID (v3),Adobe Analytics ID (v5),Google Analytics ID (v6),Page Domain (v14),Page Path (v15),Page Height (v19),Page Percent Viewed (v20),Procore ID (v35),Procore User Type (v36),Tab Focus Count (v41),Form ID (v50),Form Inputs (v51),Form Input Count (v52),Form Selected Count (v53),Chat Online (v55),Chat Team Available (v56),Chat Visible (v57),Chat Covnersation ID (v58),Chat Playbook ID (v59),Chat Campaign ID (v60),Form Errors (c14),Form Interaction Path (c16),Forms On Page (c17),Redirect Timing (event1),App cache Timing (event2),DNS Timing (event3),TCP Timing (event4),Request Timing (event5),Response Timing (event6),Processing Timing (event7),On Load Timing (event8),Page Load Timing (event9),Page Scrolled 10% (event10),Page Scrolled 25% (event11),Page Scrolled 50% (event12),Page Scrolled 75% (event13),Page Scrolled 95% (event14),Page Scrolled 100% (event15),Tab Click (event17),Form Start (event20),Form Complete (event21),Form Error Count (event22),Form Selected Count (event23),Sidebar Opened (event34),Sidebar Closed (event35),Playbook Clicked (event36),Playbook Dismissed (event37),Conversation Started (event38),Message Sent (event39),Message Receieved (event40),Email Captured (event41),Phone Captured (event42),Meeting Requested (event43),Meeting Booked (event44),Forms On Page (event45)
https://stg.procore.com/,procorestaging,200,stg.procore.com|US|Home,Home,stg.procore.com,Before Unload,2019-07-31T10:21:33.657-07:00,3573631160,03759229316241837563377248437565792649,1436868568.1564593685,stg.procore.com,/,7170,8,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,947117771,446297,487584,,,1295,3,4,18,31,526,78,2943,12,3545,,,,,,,,,,,,1,1,1,,,1,4,,,,,1
https://stg.procore.com/about,procorestaging,200,stg.procore.com|US|Company|About,Company|About,stg.procore.com,Before Unload,2019-07-31T10:21:37.448-07:00,7664531116,03759229316241837563377248437565792649,1436868568.1564593685,stg.procore.com,/about,7170,8,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,1295,1,1,1,1,466,13,3130,4,3617,,,,,,,,,,,,,,,,,,,,,,,1
https://stg.procore.com/blueprint,procorestaging,200,stg.procore.com|US|Resource|Blueprint,Resource|Blueprint,stg.procore.com,Before Unload,2019-07-31T10:21:39.483-07:00,8702741910,03759229316241837563377248437565792649,1436868568.1564593685,stg.procore.com,/blueprint,7571,8,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,1295,1,1,1,1,362,39,1258,8,1643,,,,,,,,,,,,,,,,,,,,,,,1
https://stg.procore.com/buildersclub,procorestaging,200,stg.procore.com|US|Resource|Builders Club,Resource|Builders Club,stg.procore.com,Before Unload,2019-07-31T10:21:41.973-07:00,7352704657,03759229316241837563377248437565792649,1436868568.1564593685,stg.procore.com,/buildersclub,3973,100,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,1295,1,1,1,1,281,1,1417,8,1729,1,1,1,1,1,1,,,,,,,,,,,,,,,,,1
https://stg.procore.com/certification,procorestaging,200,stg.procore.com|US|Resource|Certification,Resource|Certification,stg.procore.com,Before Unload,2019-07-31T10:21:44.361-07:00,2672480008,03759229316241837563377248437565792649,1436868568.1564593685,stg.procore.com,/certification,6189,100,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,1228|1295,1,1,1,1,274,1,1564,6,1859,1,1,1,1,1,1,,,,,,,,,,,,,,,,,2
https://stg.procore.com/demo,procorestaging,200,stg.procore.com|US|Marketing|Demo,Marketing|Demo,stg.procore.com,Before Unload,2019-07-31T10:21:47.602-07:00,7968746341,03759229316241837563377248437565792649,1436868568.1564593685,stg.procore.com,/demo,2721,68,testid-1234567890,Customer/Collaborator,,4876,FirstName|LastName|Email|Phone|Company|Country|gDPRFormsConsent,7,+4,Online,Available,Visible,,,,,FirstName|LastName|Phone|Company,4876|1295,3,1,1,1,130,1,1495,4,1708,1,1,1,,,,,1,,,4,,,,,,,,,,,,2
https://stg.procore.com/construction-financials?utm_medium=Social&utm_source=LinkedIn&utm_campaign=BRD&utm_term=Organic&utm_content=Jobsite_Constructions-up-and-coming-tech,procorestaging,200,stg.procore.com|US|Product|Construction Financials|Overview,Product|Construction Financials|Overview,stg.procore.com,Before Unload,2019-07-31T10:21:50.300-07:00,8713149136,03759229316241837563377248437565792649,1436868568.1564593685,stg.procore.com,/construction-financials,5788,10,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,1295,1,1,1,1,490,1,2021,4,2529,1,,,,,,,,,,,,,,,,,,,,,,1
https://stg.procore.com/construction-financials/accounting-integrations,procorestaging,200,stg.procore.com|US|Product|Construction Financials|Accounting Integrations,Product|Construction Financials|Accounting Integrations,stg.procore.com,Before Unload,2019-07-31T10:21:52.981-07:00,3003972065,03759229316241837563377248437565792649,1436868568.1564593685,stg.procore.com,/construction-financials/accounting-integrations,8928,7,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,1295,1,1,1,1,315,1,2145,5,2529,,,,,,,,,,,,,,,,,,,,,,,1
https://stg.procore.com/continuing-education,procorestaging,200,stg.procore.com|US|Resource|Continuing Education,Resource|Continuing Education,stg.procore.com,Before Unload,2019-07-31T10:21:54.947-07:00,4895232479,03759229316241837563377248437565792649,1436868568.1564593685,stg.procore.com,/continuing-education,3913,15,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,1295,1,1,1,1,249,1,1502,5,1823,1,,,,,,,,,,,,,,,,,,,,,,1
https://stg.procore.com/demo,procorestaging,200,stg.procore.com|US|Marketing|Demo,Marketing|Demo,stg.procore.com,Before Unload,2019-07-31T10:21:56.529-07:00,8328384676,03759229316241837563377248437565792649,1436868568.1564593685,stg.procore.com,/demo,2721,22,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,4876|1295,1,1,1,1,123,2,1288,5,1435,1,,,,,,,,,,,,,,,,,,,,,,2
