Test URL (url),Report Suite (rs),Status Code (status),Page Name (pageName),Site Section (ch),Server (server),Hit Type (v1),Timestamp (v2),Pageview ID (v3),Adobe Analytics ID (v5),Google Analytics ID (v6),Page Domain (v14),Page Path (v15),Procore ID (v35),Procore User Type (v36),Click Type (v46),Click Name (v47),Click Label (v48),Click Count (v49),Click Count (event19)
https://stg.procore.com/buildersclub,procorestaging,200,stg.procore.com|US|Resource|Builders Club,Resource|Builders Club,stg.procore.com,Click Event,2019-07-31T10:21:41.599-07:00,7352704657,03759229316241837563377248437565792649,1436868568.1564593685,stg.procore.com,/buildersclub,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/certification,procorestaging,200,stg.procore.com|US|Resource|Certification,Resource|Certification,stg.procore.com,Click Event,2019-07-31T10:21:43.915-07:00,2672480008,03759229316241837563377248437565792649,1436868568.1564593685,stg.procore.com,/certification,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-au,procorestaging,200,stg.procore.com|AU|Home,Home,stg.procore.com,Click Event,2019-07-31T10:21:58.532-07:00,6786507171,03759229316241837563377248437565792649,1436868568.1564593685,stg.procore.com,/en-au,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-au/blueprint,procorestaging,200,stg.procore.com|AU|Resource|Blueprint,Resource|Blueprint,stg.procore.com,Click Event,2019-07-31T10:22:03.451-07:00,7454591108,03759229316241837563377248437565792649,1436868568.1564593685,stg.procore.com,/en-au/blueprint,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-au/buildersclub,procorestaging,200,stg.procore.com|AU|Resource|Builders Club,Resource|Builders Club,stg.procore.com,Click Event,2019-07-31T10:22:12.649-07:00,8487637176,03759229316241837563377248437565792649,1436868568.1564593685,stg.procore.com,/en-au/buildersclub,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-au/construction-financials/accounting-integrations,procorestaging,200,stg.procore.com|AU|Product|Construction Financials|Accounting Integrations,Product|Construction Financials|Accounting Integrations,stg.procore.com,Click Event,2019-07-31T10:22:29.331-07:00,9411329944,03759229316241837563377248437565792649,1436868568.1564593685,stg.procore.com,/en-au/construction-financials/accounting-integrations,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-au/demo?utm_medium=Social&utm_source=LinkedIn&utm_campaign=BRD&utm_term=Organic&utm_content=Jobsite_Constructions-up-and-coming-tech,procorestaging,200,stg.procore.com|AU|Marketing|Demo,Marketing|Demo,stg.procore.com,Click Event,2019-07-31T10:22:35.522-07:00,6310763304,03759229316241837563377248437565792649,1436868568.1564593685,stg.procore.com,/en-au/demo,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-au/events,procorestaging,200,stg.procore.com|AU|Event|Industry Events,Event|Industry Events,stg.procore.com,Click Event,2019-07-31T10:22:45.923-07:00,2106584727,03759229316241837563377248437565792649,1436868568.1564593685,stg.procore.com,/en-au/events,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-au/field-productivity,procorestaging,200,stg.procore.com|AU|Product|Field Productivity|Overview,Product|Field Productivity|Overview,stg.procore.com,Click Event,2019-07-31T10:22:48.349-07:00,5200076284,03759229316241837563377248437565792649,1436868568.1564593685,stg.procore.com,/en-au/field-productivity,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-au/jobs,procorestaging,200,stg.procore.com|AU|Company|Jobs,Company|Jobs,stg.procore.com,Click Event,2019-07-31T10:22:56.429-07:00,4232178161,03759229316241837563377248437565792649,1436868568.1564593685,stg.procore.com,/en-au/jobs,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-au/partners,procorestaging,200,stg.procore.com|AU|Resource|Partners,Resource|Partners,stg.procore.com,Click Event,2019-07-31T10:23:23.902-07:00,8291603540,03759229316241837563377248437565792649,1436868568.1564593685,stg.procore.com,/en-au/partners,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-au/platform,procorestaging,200,stg.procore.com|AU|Product|Platform|Overview,Product|Platform|Overview,stg.procore.com,Click Event,2019-07-31T10:23:26.232-07:00,5631442957,03759229316241837563377248437565792649,1436868568.1564593685,stg.procore.com,/en-au/platform,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-au/press/habitat-for-humanity-and-procore-partner-for-a-brush-with-kindness,procorestaging,200,stg.procore.com|AU|Company|Press|Habitat For Humanity And Procore Partner For A Brush With Kindness,Company|Press|Habitat For Humanity And Procore Partner For A Brush With Kindness,stg.procore.com,Click Event,2019-07-31T10:23:34.275-07:00,5638502722,03759229316241837563377248437565792649,1436868568.1564593685,stg.procore.com,/en-au/press/habitat-for-humanity-and-procore-partner-for-a-brush-with-kindness,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-au/project-management/bidding,procorestaging,200,stg.procore.com|AU|Product|Project Management|Bidding,Product|Project Management|Bidding,stg.procore.com,Click Event,2019-07-31T10:23:40.457-07:00,7945373476,03759229316241837563377248437565792649,1436868568.1564593685,stg.procore.com,/en-au/project-management/bidding,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-au/quality-safety/daily-log,procorestaging,200,stg.procore.com|AU|Product|Quality Safety|Daily Log,Product|Quality Safety|Daily Log,stg.procore.com,Click Event,2019-07-31T10:23:53.196-07:00,9899241010,03759229316241837563377248437565792649,1436868568.1564593685,stg.procore.com,/en-au/quality-safety/daily-log,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-au/webinars,procorestaging,200,stg.procore.com|AU|Resource|Webinars|Overview,Resource|Webinars|Overview,stg.procore.com,Click Event,2019-07-31T10:24:10.585-07:00,5667346471,03759229316241837563377248437565792649,1436868568.1564593685,stg.procore.com,/en-au/webinars,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-ca?utm_medium=Social&utm_source=LinkedIn&utm_campaign=BRD&utm_term=Organic&utm_content=Jobsite_Constructions-up-and-coming-tech,procorestaging,200,stg.procore.com|CA|Home,Home,stg.procore.com,Click Event,2019-07-31T10:24:14.820-07:00,3310960799,03759229316241837563377248437565792649,1436868568.1564593685,stg.procore.com,/en-ca,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-ca/demo,procorestaging,200,stg.procore.com|CA|Marketing|Demo,Marketing|Demo,stg.procore.com,Click Event,2019-07-31T10:24:18.531-07:00,4242261405,03759229316241837563377248437565792649,1436868568.1564593685,stg.procore.com,/en-ca/demo,testid-1234567890,Customer/Collaborator,Demo,Popup,Video - Hear from our customers,+1,1
https://stg.procore.com/en-ca/certification,procorestaging,200,stg.procore.com|CA|Resource|Certification,Resource|Certification,stg.procore.com,Click Event,2019-07-31T10:25:37.821-07:00,6886188021,03759229316241837563377248437565792649,1436868568.1564593685,stg.procore.com,/en-ca/certification,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-ca/demo,procorestaging,200,stg.procore.com|CA|Marketing|Demo,Marketing|Demo,stg.procore.com,Click Event,2019-07-31T10:25:41.631-07:00,2925852586,03759229316241837563377248437565792649,1436868568.1564593685,stg.procore.com,/en-ca/demo,testid-1234567890,Customer/Collaborator,Demo,Popup,Video - Hear from our customers,+1,1
https://stg.procore.com/en-ca/continuing-education,procorestaging,200,stg.procore.com|CA|Resource|Continuing Education,Resource|Continuing Education,stg.procore.com,Click Event,2019-07-31T10:27:00.652-07:00,4041452908,03759229316241837563377248437565792649,1436868568.1564593685,stg.procore.com,/en-ca/continuing-education,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-ca/field-productivity,procorestaging,200,stg.procore.com|CA|Product|Field Productivity|Overview,Product|Field Productivity|Overview,stg.procore.com,Click Event,2019-07-31T10:27:11.655-07:00,1895428607,03759229316241837563377248437565792649,1436868568.1564593685,stg.procore.com,/en-ca/field-productivity,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-ca/jobs/openings/1056317,procorestaging,200,stg.procore.com|US|Company|Jobs|Openings|1056317,Company|Jobs|Openings|1056317,stg.procore.com,Click Event,2019-07-31T10:27:32.550-07:00,6293278551,03759229316241837563377248437565792649,1436868568.1564593685,stg.procore.com,/en-ca/jobs/openings/1056317,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
