Test URL (url),Report Suite (rs),Status Code (status),Page Name (pageName),Site Section (ch),Server (server),Campaign (v0),Hit Type (v1),Timestamp (v2),Pageview ID (v3),Library Version (v4),Adobe Analytics ID (v5),Google Analytics ID (v6),Site Country (v7),Previous Page Name (v8),Previous Page URL (v9),Page Type (v10),Page Protocol (v13),Page Domain (v14),Page Path (v15),Page Query String (v16),Page Fragment (v17),Page Document Title (v18),Personalization Variants (v32),Procore ID (v35),Procore User Type (v36),Navigation Type (v37),Tab ID (v38),Tab Type (v39),Tab Count (v40),Redirect Count (event16)
https://stg.procore.com/,procorestaging,200,stg.procore.com|US|Home,Home,stg.procore.com,|||||,Pageview,2019-07-31T13:10:49.32-07:00,1861726114,2.15.0|4.4.0|staging|25.6.0|2019-07-31T18:41:44Z,,,US,,,Home,https:,stg.procore.com,/,,,Procore – World's Leading Construction Management Software,Default,,Prospect,NAVIGATE,6a0e364d-b2ca-4616-b0a1-ce231f6ce6b5,New,1,
https://stg.procore.com/demo,procorestaging,200,stg.procore.com|US|Marketing|Demo,Marketing|Demo,stg.procore.com,|||||,Pageview,2019-07-31T13:10:58.928-07:00,2492751398,2.15.0|4.4.0|staging|25.6.0|2019-07-31T18:41:44Z,82073438465062354950873370571625325815,1068991498.1564603849,US,stg.procore.com|US|Home,stg.procore.com/,Demo Page,https:,stg.procore.com,/demo,,,Request a Demo | Procore,Default,testid-1234567890,Customer/Collaborator,NAVIGATE,6a0e364d-b2ca-4616-b0a1-ce231f6ce6b5,Existing,1,
https://stg.procore.com/about,procorestaging,200,stg.procore.com|US|Company|About,Company|About,stg.procore.com,|||||,Pageview,2019-07-31T13:11:04.652-07:00,2578464429,2.15.0|4.4.0|staging|25.6.0|2019-07-31T18:41:44Z,82073438465062354950873370571625325815,1068991498.1564603849,US,stg.procore.com|US|Marketing|Demo,stg.procore.com/demo,Default Page,https:,stg.procore.com,/about,,,The #1 Most Used Construction Management Software,Default,testid-1234567890,Customer/Collaborator,NAVIGATE,6a0e364d-b2ca-4616-b0a1-ce231f6ce6b5,Existing,1,
https://stg.procore.com/blueprint,procorestaging,200,stg.procore.com|US|Resource|Blueprint,Resource|Blueprint,stg.procore.com,|||||,Pageview,2019-07-31T13:11:07.993-07:00,9912059684,2.15.0|4.4.0|staging|25.6.0|2019-07-31T18:41:44Z,82073438465062354950873370571625325815,1068991498.1564603849,US,stg.procore.com|US|Company|About,stg.procore.com/about,Default Page,https:,stg.procore.com,/blueprint,,,Award-Winning Customer Implementation and Support,Default,testid-1234567890,Customer/Collaborator,NAVIGATE,6a0e364d-b2ca-4616-b0a1-ce231f6ce6b5,Existing,1,
https://stg.procore.com/buildersclub,procorestaging,200,stg.procore.com|US|Resource|Builders Club,Resource|Builders Club,stg.procore.com,|||||,Pageview,2019-07-31T13:11:10.319-07:00,8922215164,2.15.0|4.4.0|staging|25.6.0|2019-07-31T18:41:44Z,82073438465062354950873370571625325815,1068991498.1564603849,US,stg.procore.com|US|Resource|Blueprint,stg.procore.com/blueprint,Default Page,https:,stg.procore.com,/buildersclub,,,Builder's Club - Procore's Rewards Program for Professionals,Default,testid-1234567890,Customer/Collaborator,NAVIGATE,6a0e364d-b2ca-4616-b0a1-ce231f6ce6b5,Existing,1,
https://stg.procore.com/certification,procorestaging,200,stg.procore.com|US|Resource|Certification,Resource|Certification,stg.procore.com,|||||,Pageview,2019-07-31T13:11:12.729-07:00,6632311586,2.15.0|4.4.0|staging|25.6.0|2019-07-31T18:41:44Z,82073438465062354950873370571625325815,1068991498.1564603849,US,stg.procore.com|US|Resource|Builders Club,stg.procore.com/buildersclub,Default Page,https:,stg.procore.com,/certification,,,Get Your Procore Certification,Default,testid-1234567890,Customer/Collaborator,NAVIGATE,6a0e364d-b2ca-4616-b0a1-ce231f6ce6b5,Existing,1,
https://stg.procore.com/construction-financials,procorestaging,200,stg.procore.com|US|Product|Construction Financials|Overview,Product|Construction Financials|Overview,stg.procore.com,|||||,Pageview,2019-07-31T13:11:14.828-07:00,2781925655,2.15.0|4.4.0|staging|25.6.0|2019-07-31T18:41:44Z,82073438465062354950873370571625325815,1068991498.1564603849,US,stg.procore.com|US|Resource|Certification,stg.procore.com/certification,Overview,https:,stg.procore.com,/construction-financials,,,Construction Financial Management Software | Procore,Default,testid-1234567890,Customer/Collaborator,NAVIGATE,6a0e364d-b2ca-4616-b0a1-ce231f6ce6b5,Existing,1,
https://stg.procore.com/construction-financials/accounting-integrations,procorestaging,200,stg.procore.com|US|Product|Construction Financials|Accounting Integrations,Product|Construction Financials|Accounting Integrations,stg.procore.com,|||||,Pageview,2019-07-31T13:11:16.761-07:00,8790035473,2.15.0|4.4.0|staging|25.6.0|2019-07-31T18:41:44Z,82073438465062354950873370571625325815,1068991498.1564603849,US,stg.procore.com|US|Product|Construction Financials|Overview,stg.procore.com/construction-financials,Tool,https:,stg.procore.com,/construction-financials/accounting-integrations,,,Construction Accounting Integrations | Procore,Default,testid-1234567890,Customer/Collaborator,NAVIGATE,6a0e364d-b2ca-4616-b0a1-ce231f6ce6b5,Existing,1,
https://stg.procore.com/continuing-education,procorestaging,200,stg.procore.com|US|Resource|Continuing Education,Resource|Continuing Education,stg.procore.com,|||||,Pageview,2019-07-31T13:11:19.244-07:00,7679100510,2.15.0|4.4.0|staging|25.6.0|2019-07-31T18:41:44Z,82073438465062354950873370571625325815,1068991498.1564603849,US,stg.procore.com|US|Product|Construction Financials|Accounting Integrations,stg.procore.com/construction-financials/accounting-integrations,Default Page,https:,stg.procore.com,/continuing-education,,,Obtain Free Continuing Education Units Through Procore,Default,testid-1234567890,Customer/Collaborator,NAVIGATE,6a0e364d-b2ca-4616-b0a1-ce231f6ce6b5,Existing,1,
https://stg.procore.com/demo,procorestaging,200,stg.procore.com|US|Marketing|Demo,Marketing|Demo,stg.procore.com,|||||,Pageview,2019-07-31T13:11:21.187-07:00,2003877085,2.15.0|4.4.0|staging|25.6.0|2019-07-31T18:41:44Z,82073438465062354950873370571625325815,1068991498.1564603849,US,stg.procore.com|US|Resource|Continuing Education,stg.procore.com/continuing-education,Demo Page,https:,stg.procore.com,/demo,,,Request a Demo | Procore,Default,testid-1234567890,Customer/Collaborator,NAVIGATE,6a0e364d-b2ca-4616-b0a1-ce231f6ce6b5,Existing,1,
https://stg.procore.com/en-au,procorestaging,200,stg.procore.com|AU|Home,Home,stg.procore.com,|||||,Pageview,2019-07-31T13:11:23.488-07:00,7320328568,2.15.0|4.4.0|staging|25.6.0|2019-07-31T18:41:44Z,82073438465062354950873370571625325815,1068991498.1564603849,AU,stg.procore.com|US|Marketing|Demo,stg.procore.com/demo,Home,https:,stg.procore.com,/en-au,,,Procore – World's Leading Construction Management Software,Default,testid-1234567890,Customer/Collaborator,NAVIGATE,6a0e364d-b2ca-4616-b0a1-ce231f6ce6b5,Existing,1,
https://stg.procore.com/en-au/about,procorestaging,200,stg.procore.com|AU|Company|About,Company|About,stg.procore.com,|||||,Pageview,2019-07-31T13:11:25.359-07:00,5601150116,2.15.0|4.4.0|staging|25.6.0|2019-07-31T18:41:44Z,82073438465062354950873370571625325815,1068991498.1564603849,AU,stg.procore.com|AU|Home,stg.procore.com/en-au,Default Page,https:,stg.procore.com,/en-au/about,,,The #1 Most Used Construction Management Software,Default,testid-1234567890,Customer/Collaborator,NAVIGATE,6a0e364d-b2ca-4616-b0a1-ce231f6ce6b5,Existing,1,
