Test URL (url),Report Suite (rs),Status Code (status),Page Name (pageName),Site Section (ch),Server (server),Campaign (v0),Hit Type (v1),Timestamp (v2),Pageview ID (v3),Library Version (v4),Adobe Analytics ID (v5),Google Analytics ID (v6),Site Country (v7),Previous Page Name (v8),Previous Page URL (v9),Page Type (v10),Page Protocol (v13),Page Domain (v14),Page Path (v15),Page Query String (v16),Page Fragment (v17),Page Document Title (v18),Personalization Variants (v32),Procore ID (v35),Procore User Type (v36),Navigation Type (v37),Tab ID (v38),Tab Type (v39),Tab Count (v40),Redirect Count (event16)
https://www.procore.com/,procoreprod2,200,www.procore.com|US|Home,Home,www.procore.com,,Pageview,2020-02-06T16:56:42.651-08:00,4581545726,2.17.0|4.5.2|production|25.7.0|2020-02-07T00:43:07Z,,,US,,,Home,https:,www.procore.com,/,,,Procore Construction Management Software,Default,,Prospect,NAVIGATE,8a7edb4e-d92c-44c9-9d80-fdfc3f5980a5,New,1,
https://www.procore.com/about,procoreprod2,200,www.procore.com|US|Company|About,Company|About,www.procore.com,,Pageview,2020-02-06T16:56:49.721-08:00,6611516535,2.17.0|4.5.2|production|25.7.0|2020-02-07T00:43:07Z,88384212872544261051154637826826683353,1022827805.1581037003,US,www.procore.com|US|Home,www.procore.com/,Landing Page,https:,www.procore.com,/about,,,The #1 Most Used Construction Management Software,Default,testid-1234567890,Customer/Collaborator,NAVIGATE,8a7edb4e-d92c-44c9-9d80-fdfc3f5980a5,Existing,1,
https://www.procore.com/blueprint,procoreprod2,200,www.procore.com|US|Resource|Blueprint,Resource|Blueprint,www.procore.com,,Pageview,2020-02-06T16:56:53.276-08:00,6079118008,2.17.0|4.5.2|production|25.7.0|2020-02-07T00:43:07Z,88384212872544261051154637826826683353,1022827805.1581037003,US,www.procore.com|US|Company|About,www.procore.com/about,Default Page,https:,www.procore.com,/blueprint,,,Award-Winning Customer Implementation and Support,Default,testid-1234567890,Customer/Collaborator,NAVIGATE,8a7edb4e-d92c-44c9-9d80-fdfc3f5980a5,Existing,1,
https://www.procore.com/buildersclub,procoreprod2,200,www.procore.com|US|Resource|Builders Club,Resource|Builders Club,www.procore.com,,Pageview,2020-02-06T16:56:56.390-08:00,6819628868,2.17.0|4.5.2|production|25.7.0|2020-02-07T00:43:07Z,88384212872544261051154637826826683353,1022827805.1581037003,US,www.procore.com|US|Resource|Blueprint,www.procore.com/blueprint,Default Page,https:,www.procore.com,/buildersclub,,,Builder's Club - Procore's Rewards Program for Professionals,Default,testid-1234567890,Customer/Collaborator,NAVIGATE,8a7edb4e-d92c-44c9-9d80-fdfc3f5980a5,Existing,1,
https://www.procore.com/certification,procoreprod2,200,www.procore.com|US|Resource|Certification,Resource|Certification,www.procore.com,,Pageview,2020-02-06T16:56:59.530-08:00,9655035277,2.17.0|4.5.2|production|25.7.0|2020-02-07T00:43:07Z,88384212872544261051154637826826683353,1022827805.1581037003,US,www.procore.com|US|Resource|Builders Club,www.procore.com/buildersclub,Default Page,https:,www.procore.com,/certification,,,Get Your Procore Certification,Default,testid-1234567890,Customer/Collaborator,NAVIGATE,8a7edb4e-d92c-44c9-9d80-fdfc3f5980a5,Existing,1,
https://www.procore.com/project-financials,procoreprod2,200,www.procore.com|US|Product|Project Financials|Overview,Product|Project Financials|Overview,www.procore.com,,Pageview,2020-02-06T16:57:03.51-08:00,3760182898,2.17.0|4.5.2|production|25.7.0|2020-02-07T00:43:07Z,88384212872544261051154637826826683353,1022827805.1581037003,US,www.procore.com|US|Resource|Certification,www.procore.com/certification,Product Page,https:,www.procore.com,/project-financials,,#fragment,Project Financial Software | Procore,Default,testid-1234567890,Customer/Collaborator,NAVIGATE,8a7edb4e-d92c-44c9-9d80-fdfc3f5980a5,Existing,1,
https://www.procore.com/accounting-integrations,procoreprod2,200,www.procore.com|US|Product|Accounting Integrations|Overview,Product|Accounting Integrations|Overview,www.procore.com,,Pageview,2020-02-06T16:57:06.820-08:00,5851143567,2.17.0|4.5.2|production|25.7.0|2020-02-07T00:43:07Z,88384212872544261051154637826826683353,1022827805.1581037003,US,www.procore.com|US|Product|Project Financials|Overview,www.procore.com/project-financials,Product Page,https:,www.procore.com,/accounting-integrations,,,Accounting Integration | Procore,Default,testid-1234567890,Customer/Collaborator,NAVIGATE,8a7edb4e-d92c-44c9-9d80-fdfc3f5980a5,Existing,1,
https://www.procore.com/continuing-education,procoreprod2,200,www.procore.com|US|Resource|Continuing Education,Resource|Continuing Education,www.procore.com,,Pageview,2020-02-06T16:57:10.46-08:00,4852376726,2.17.0|4.5.2|production|25.7.0|2020-02-07T00:43:07Z,88384212872544261051154637826826683353,1022827805.1581037003,US,www.procore.com|US|Product|Accounting Integrations|Overview,www.procore.com/accounting-integrations,Default Page,https:,www.procore.com,/continuing-education,,,Obtain Free Continuing Education Units Through Procore,Default,testid-1234567890,Customer/Collaborator,NAVIGATE,8a7edb4e-d92c-44c9-9d80-fdfc3f5980a5,Existing,1,
https://www.procore.com/demo,procoreprod2,200,www.procore.com|US|Landing Page|Demo,Landing Page|Demo,www.procore.com,,Pageview,2020-02-06T16:57:13.08-08:00,3668176626,2.17.0|4.5.2|production|25.7.0|2020-02-07T00:43:07Z,88384212872544261051154637826826683353,1022827805.1581037003,US,www.procore.com|US|Resource|Continuing Education,www.procore.com/continuing-education,Landing Page,https:,www.procore.com,/demo,,,Request a Demo | Procore,Default,testid-1234567890,Customer/Collaborator,NAVIGATE,8a7edb4e-d92c-44c9-9d80-fdfc3f5980a5,Existing,1,
https://www.procore.com/en-au,procoreprod2,200,www.procore.com|AU|Home,Home,www.procore.com,,Pageview,2020-02-06T16:57:15.903-08:00,5276254235,2.17.0|4.5.2|production|25.7.0|2020-02-07T00:43:07Z,88384212872544261051154637826826683353,1022827805.1581037003,AU,www.procore.com|US|Landing Page|Demo,www.procore.com/demo,Home,https:,www.procore.com,/en-au,,,Procore Construction Management Software,Default,testid-1234567890,Customer/Collaborator,NAVIGATE,8a7edb4e-d92c-44c9-9d80-fdfc3f5980a5,Existing,1,
https://www.procore.com/en-au/about,procoreprod2,200,www.procore.com|AU|Company|About,Company|About,www.procore.com,,Pageview,2020-02-06T16:57:19.111-08:00,8889487287,2.17.0|4.5.2|production|25.7.0|2020-02-07T00:43:07Z,88384212872544261051154637826826683353,1022827805.1581037003,AU,www.procore.com|AU|Home,www.procore.com/en-au,Landing Page,https:,www.procore.com,/en-au/about,,,The #1 Most Used Construction Management Software,Default,testid-1234567890,Customer/Collaborator,NAVIGATE,8a7edb4e-d92c-44c9-9d80-fdfc3f5980a5,Existing,1,
https://www.procore.com/demo,procoreprod2,200,www.procore.com|US|Landing Page|Demo,Landing Page|Demo,www.procore.com,,Pageview,2020-02-06T16:57:22.549-08:00,2632994657,2.17.0|4.5.2|production|25.7.0|2020-02-07T00:43:07Z,88384212872544261051154637826826683353,1022827805.1581037003,US,www.procore.com|AU|Company|About,www.procore.com/en-au/about,Landing Page,https:,www.procore.com,/demo,,,Request a Demo | Procore,Default,testid-1234567890,Customer/Collaborator,NAVIGATE,8a7edb4e-d92c-44c9-9d80-fdfc3f5980a5,Existing,1,
https://www.procore.com/demo-thank-you,procoreprod2,200,www.procore.com|US|Landing Page|Thank you page,Landing Page|Thank you page,www.procore.com,,Pageview,2020-02-06T16:57:30.677-08:00,3679251514,2.17.0|4.5.2|production|25.7.0|2020-02-07T00:43:07Z,88384212872544261051154637826826683353,1022827805.1581037003,US,www.procore.com|US|Landing Page|Demo,www.procore.com/demo,Thank You Page,https:,www.procore.com,/demo-thank-you,,,Thank You for Requesting a Demo | Procore,Default,testid-1234567890,Customer/Collaborator,NAVIGATE,8a7edb4e-d92c-44c9-9d80-fdfc3f5980a5,Existing,1,
https://www.procore.com/en-au/blueprint,procoreprod2,200,www.procore.com|AU|Resource|Blueprint,Resource|Blueprint,www.procore.com,,Pageview,2020-02-06T16:57:32.921-08:00,5950431037,2.17.0|4.5.2|production|25.7.0|2020-02-07T00:43:07Z,88384212872544261051154637826826683353,1022827805.1581037003,AU,www.procore.com|US|Landing Page|Thank you page,www.procore.com/demo-thank-you,Default Page,https:,www.procore.com,/en-au/blueprint,,,Award-Winning Customer Implementation and Support,Default,testid-1234567890,Customer/Collaborator,NAVIGATE,8a7edb4e-d92c-44c9-9d80-fdfc3f5980a5,Existing,1,
https://www.procore.com/demo,procoreprod2,200,www.procore.com|US|Landing Page|Demo,Landing Page|Demo,www.procore.com,,Pageview,2020-02-06T16:57:36.73-08:00,7510312459,2.17.0|4.5.2|production|25.7.0|2020-02-07T00:43:07Z,88384212872544261051154637826826683353,1022827805.1581037003,US,www.procore.com|AU|Resource|Blueprint,www.procore.com/en-au/blueprint,Landing Page,https:,www.procore.com,/demo,,,Request a Demo | Procore,Default,testid-1234567890,Customer/Collaborator,NAVIGATE,8a7edb4e-d92c-44c9-9d80-fdfc3f5980a5,Existing,1,
https://www.procore.com/en-au/buildersclub,procoreprod2,200,www.procore.com|AU|Resource|Builders Club,Resource|Builders Club,www.procore.com,,Pageview,2020-02-06T16:57:42.849-08:00,3141675101,2.17.0|4.5.2|production|25.7.0|2020-02-07T00:43:07Z,88384212872544261051154637826826683353,1022827805.1581037003,AU,www.procore.com|US|Landing Page|Demo,www.procore.com/demo,Default Page,https:,www.procore.com,/en-au/buildersclub,,,Builder's Club - Procore's Rewards Program for Professionals,Default,testid-1234567890,Customer/Collaborator,NAVIGATE,8a7edb4e-d92c-44c9-9d80-fdfc3f5980a5,Existing,1,
https://www.procore.com/demo,procoreprod2,200,www.procore.com|US|Landing Page|Demo,Landing Page|Demo,www.procore.com,,Pageview,2020-02-06T16:57:46.39-08:00,8825865910,2.17.0|4.5.2|production|25.7.0|2020-02-07T00:43:07Z,88384212872544261051154637826826683353,1022827805.1581037003,US,www.procore.com|AU|Resource|Builders Club,www.procore.com/en-au/buildersclub,Landing Page,https:,www.procore.com,/demo,,,Request a Demo | Procore,Default,testid-1234567890,Customer/Collaborator,NAVIGATE,8a7edb4e-d92c-44c9-9d80-fdfc3f5980a5,Existing,1,
https://www.procore.com/demo-thank-you,procoreprod2,200,www.procore.com|US|Landing Page|Thank you page,Landing Page|Thank you page,www.procore.com,,Pageview,2020-02-06T16:57:53.334-08:00,9944882482,2.17.0|4.5.2|production|25.7.0|2020-02-07T00:43:07Z,88384212872544261051154637826826683353,1022827805.1581037003,US,www.procore.com|US|Landing Page|Demo,www.procore.com/demo,Thank You Page,https:,www.procore.com,/demo-thank-you,,,Thank You for Requesting a Demo | Procore,Default,testid-1234567890,Customer/Collaborator,NAVIGATE,8a7edb4e-d92c-44c9-9d80-fdfc3f5980a5,Existing,1,
https://www.procore.com/en-au/certification,procoreprod2,200,www.procore.com|AU|Resource|Certification,Resource|Certification,www.procore.com,,Pageview,2020-02-06T16:57:55.581-08:00,1637780667,2.17.0|4.5.2|production|25.7.0|2020-02-07T00:43:07Z,88384212872544261051154637826826683353,1022827805.1581037003,AU,www.procore.com|US|Landing Page|Thank you page,www.procore.com/demo-thank-you,Default Page,https:,www.procore.com,/en-au/certification,,,Get Your Procore Certification,Default,testid-1234567890,Customer/Collaborator,NAVIGATE,8a7edb4e-d92c-44c9-9d80-fdfc3f5980a5,Existing,1,
