Test URL (url),Report Suite (rs),Status Code (status),Media Player Name (playerName),Video Name (name),Video Length (length),Page Name (pageName),Site Section (ch),Server (server),Hit Type (v1),Timestamp (v2),Pageview ID (v3),Adobe Analytics ID (v5),Google Analytics ID (v6),Page Domain (v14),Page Path (v15),Procore ID (v35),Procore User Type (v36),Events (events),Video View (event24),Video Play (event25),Video Pause (event26),Video Complete (event27),Video Time Played (event28),Video 10% Watched (event29),Video 25% Watched (event30),Video 50% Watched (event31),Video 75% Watched (event32),Video 95% Watched (event33)
https://stg.procore.com/en-au/demo,procorestaging,200,Wistia,McNab Construction Accelerates Revenue with Procore,107.566,stg.procore.com|AU|Marketing|Demo,Marketing|Demo,stg.procore.com,Video Event,2019-07-31T11:43:45.314-07:00,5525170329,71714577693731072493299551516658275667,477258701.1564598540,stg.procore.com,/en-au/demo,testid-1234567890,Customer/Collaborator,,1,1,,,,,,,,
https://stg.procore.com/en-au/demo,procorestaging,200,Wistia,McNab Construction Accelerates Revenue with Procore,107.566,stg.procore.com|AU|Marketing|Demo,Marketing|Demo,stg.procore.com,Video Event,2019-07-31T11:43:49.179-07:00,5525170329,71714577693731072493299551516658275667,477258701.1564598540,stg.procore.com,/en-au/demo,testid-1234567890,Customer/Collaborator,,,,1,,3,,,,,
https://stg.procore.com/en-au/demo,procorestaging,200,Wistia,McNab Construction Accelerates Revenue with Procore,107.566,stg.procore.com|AU|Marketing|Demo,Marketing|Demo,stg.procore.com,Video Event,2019-07-31T11:43:54.240-07:00,5525170329,71714577693731072493299551516658275667,477258701.1564598540,stg.procore.com,/en-au/demo,testid-1234567890,Customer/Collaborator,,,1,,,,,,,,
https://stg.procore.com/en-au/demo,procorestaging,200,Wistia,McNab Construction Accelerates Revenue with Procore,107.566,stg.procore.com|AU|Marketing|Demo,Marketing|Demo,stg.procore.com,Video Event,2019-07-31T11:44:01.349-07:00,5525170329,71714577693731072493299551516658275667,477258701.1564598540,stg.procore.com,/en-au/demo,testid-1234567890,Customer/Collaborator,,,,,,7,1,,,,
https://stg.procore.com/en-au/demo,procorestaging,200,Wistia,McNab Construction Accelerates Revenue with Procore,107.566,stg.procore.com|AU|Marketing|Demo,Marketing|Demo,stg.procore.com,Video Event,2019-07-31T11:44:17.374-07:00,5525170329,71714577693731072493299551516658275667,477258701.1564598540,stg.procore.com,/en-au/demo,testid-1234567890,Customer/Collaborator,,,,,,16,,1,,,
https://stg.procore.com/en-au/demo,procorestaging,200,Wistia,McNab Construction Accelerates Revenue with Procore,107.566,stg.procore.com|AU|Marketing|Demo,Marketing|Demo,stg.procore.com,Video Event,2019-07-31T11:44:44.411-07:00,5525170329,71714577693731072493299551516658275667,477258701.1564598540,stg.procore.com,/en-au/demo,testid-1234567890,Customer/Collaborator,,,,,,27,,,1,,
https://stg.procore.com/demo?nb-transaction-token=NBPOE-TXN-5d41e314c3798&nb-confirmation-token=0f90408336c9b301192c1abdc45cb3dc&nb-result=valid&FirstName=Josh&LastName=Bradley&Email=joshua.bradley%2Badobetest%40procore.com&Phone=1234567890&Company=Procore&Country=Bahamas&utm_campaign__c=&utm_content__c=&utm_medium__c=&utm_source__c=&utm_term__c=&formid=4876&munchkinId=788-HIQ-636&gAClientID=,procorestaging,200,Wistia,Field Teams - Why Procore?,141.06,stg.procore.com|US|Marketing|Demo,Marketing|Demo,stg.procore.com,Video Event,2019-07-31T11:51:04.102-07:00,8967079804,71714577693731072493299551516658275667,477258701.1564598540,stg.procore.com,/demo,testid-1234567890,Customer/Collaborator,,1,1,,,,,,,,
https://stg.procore.com/demo?nb-transaction-token=NBPOE-TXN-5d41e314c3798&nb-confirmation-token=0f90408336c9b301192c1abdc45cb3dc&nb-result=valid&FirstName=Josh&LastName=Bradley&Email=joshua.bradley%2Badobetest%40procore.com&Phone=1234567890&Company=Procore&Country=Bahamas&utm_campaign__c=&utm_content__c=&utm_medium__c=&utm_source__c=&utm_term__c=&formid=4876&munchkinId=788-HIQ-636&gAClientID=,procorestaging,200,Wistia,Field Teams - Why Procore?,141.06,stg.procore.com|US|Marketing|Demo,Marketing|Demo,stg.procore.com,Video Event,2019-07-31T11:51:08.151-07:00,8967079804,71714577693731072493299551516658275667,477258701.1564598540,stg.procore.com,/demo,testid-1234567890,Customer/Collaborator,,,,1,,3,,,,,
https://stg.procore.com/demo?nb-transaction-token=NBPOE-TXN-5d41e314c3798&nb-confirmation-token=0f90408336c9b301192c1abdc45cb3dc&nb-result=valid&FirstName=Josh&LastName=Bradley&Email=joshua.bradley%2Badobetest%40procore.com&Phone=1234567890&Company=Procore&Country=Bahamas&utm_campaign__c=&utm_content__c=&utm_medium__c=&utm_source__c=&utm_term__c=&formid=4876&munchkinId=788-HIQ-636&gAClientID=,procorestaging,200,Wistia,Field Teams - Why Procore?,141.06,stg.procore.com|US|Marketing|Demo,Marketing|Demo,stg.procore.com,Video Event,2019-07-31T11:51:13.209-07:00,8967079804,71714577693731072493299551516658275667,477258701.1564598540,stg.procore.com,/demo,testid-1234567890,Customer/Collaborator,,,1,,,,,,,,
https://stg.procore.com/demo?nb-transaction-token=NBPOE-TXN-5d41e314c3798&nb-confirmation-token=0f90408336c9b301192c1abdc45cb3dc&nb-result=valid&FirstName=Josh&LastName=Bradley&Email=joshua.bradley%2Badobetest%40procore.com&Phone=1234567890&Company=Procore&Country=Bahamas&utm_campaign__c=&utm_content__c=&utm_medium__c=&utm_source__c=&utm_term__c=&formid=4876&munchkinId=788-HIQ-636&gAClientID=,procorestaging,200,Wistia,Field Teams - Why Procore?,141.06,stg.procore.com|US|Marketing|Demo,Marketing|Demo,stg.procore.com,Video Event,2019-07-31T11:51:23.324-07:00,8967079804,71714577693731072493299551516658275667,477258701.1564598540,stg.procore.com,/demo,testid-1234567890,Customer/Collaborator,,,,,,11,1,,,,
https://stg.procore.com/demo?nb-transaction-token=NBPOE-TXN-5d41e314c3798&nb-confirmation-token=0f90408336c9b301192c1abdc45cb3dc&nb-result=valid&FirstName=Josh&LastName=Bradley&Email=joshua.bradley%2Badobetest%40procore.com&Phone=1234567890&Company=Procore&Country=Bahamas&utm_campaign__c=&utm_content__c=&utm_medium__c=&utm_source__c=&utm_term__c=&formid=4876&munchkinId=788-HIQ-636&gAClientID=,procorestaging,200,Wistia,Field Teams - Why Procore?,141.06,stg.procore.com|US|Marketing|Demo,Marketing|Demo,stg.procore.com,Video Event,2019-07-31T11:51:45.361-07:00,8967079804,71714577693731072493299551516658275667,477258701.1564598540,stg.procore.com,/demo,testid-1234567890,Customer/Collaborator,,,,,,22,,1,,,
https://stg.procore.com/demo,procorestaging,200,Wistia,Field Teams - Why Procore?,141.06,stg.procore.com|US|Marketing|Demo,Marketing|Demo,stg.procore.com,Video Event,2019-07-31T11:52:22.617-07:00,2241119865,71714577693731072493299551516658275667,477258701.1564598540,stg.procore.com,/demo,testid-1234567890,Customer/Collaborator,,1,1,,,,,,,,
https://stg.procore.com/demo,procorestaging,200,Wistia,Field Teams - Why Procore?,141.06,stg.procore.com|US|Marketing|Demo,Marketing|Demo,stg.procore.com,Video Event,2019-07-31T11:52:25.115-07:00,2241119865,71714577693731072493299551516658275667,477258701.1564598540,stg.procore.com,/demo,testid-1234567890,Customer/Collaborator,,,,1,,2,,,,,
https://stg.procore.com/demo,procorestaging,200,Wistia,Field Teams - Why Procore?,141.06,stg.procore.com|US|Marketing|Demo,Marketing|Demo,stg.procore.com,Video Event,2019-07-31T11:52:30.178-07:00,2241119865,71714577693731072493299551516658275667,477258701.1564598540,stg.procore.com,/demo,testid-1234567890,Customer/Collaborator,,,1,,,,,,,,
https://stg.procore.com/demo,procorestaging,200,Wistia,Field Teams - Why Procore?,141.06,stg.procore.com|US|Marketing|Demo,Marketing|Demo,stg.procore.com,Video Event,2019-07-31T11:52:42.654-07:00,2241119865,71714577693731072493299551516658275667,477258701.1564598540,stg.procore.com,/demo,testid-1234567890,Customer/Collaborator,,,,,,12,1,,,,
https://stg.procore.com/demo,procorestaging,200,Wistia,Field Teams - Why Procore?,141.06,stg.procore.com|US|Marketing|Demo,Marketing|Demo,stg.procore.com,Video Event,2019-07-31T11:53:03.685-07:00,2241119865,71714577693731072493299551516658275667,477258701.1564598540,stg.procore.com,/demo,testid-1234567890,Customer/Collaborator,,,,,,21,,1,,,
https://stg.procore.com/tour,procorestaging,200,Wistia,Guided Tour Overview,48.004,stg.procore.com|US|Marketing|Tour,Marketing|Tour,stg.procore.com,Video Event,2019-07-31T11:54:46.316-07:00,7623562655,71714577693731072493299551516658275667,477258701.1564598540,stg.procore.com,/tour,testid-1234567890,Customer/Collaborator,,1,1,,,,,,,,
https://stg.procore.com/tour,procorestaging,200,Wistia,Guided Tour Overview,48.004,stg.procore.com|US|Marketing|Tour,Marketing|Tour,stg.procore.com,Video Event,2019-07-31T11:54:51.333-07:00,7623562655,71714577693731072493299551516658275667,477258701.1564598540,stg.procore.com,/tour,testid-1234567890,Customer/Collaborator,,,,,,5,1,,,,
https://stg.procore.com/tour,procorestaging,200,Wistia,Guided Tour Overview,48.004,stg.procore.com|US|Marketing|Tour,Marketing|Tour,stg.procore.com,Video Event,2019-07-31T11:54:58.347-07:00,7623562655,71714577693731072493299551516658275667,477258701.1564598540,stg.procore.com,/tour,testid-1234567890,Customer/Collaborator,,,,,,7,,1,,,
