Test URL (url),Report Suite (rs),Status Code (status),Page Name (pageName),Site Section (ch),Server (server),Hit Type (v1),Timestamp (v2),Pageview ID (v3),Adobe Analytics ID (v5),Google Analytics ID (v6),Page Domain (v14),Page Path (v15),Page Height (v19),Page Percent Viewed (v20),Procore ID (v35),Procore User Type (v36),Tab Focus Count (v41),Form ID (v50),Form Inputs (v51),Form Input Count (v52),Form Selected Count (v53),Chat Online (v55),Chat Team Available (v56),Chat Visible (v57),Chat Covnersation ID (v58),Chat Playbook ID (v59),Chat Campaign ID (v60),Form Errors (c14),Form Interaction Path (c16),Forms On Page (c17),Redirect Timing (event1),App cache Timing (event2),DNS Timing (event3),TCP Timing (event4),Request Timing (event5),Response Timing (event6),Processing Timing (event7),On Load Timing (event8),Page Load Timing (event9),Page Scrolled 10% (event10),Page Scrolled 25% (event11),Page Scrolled 50% (event12),Page Scrolled 75% (event13),Page Scrolled 95% (event14),Page Scrolled 100% (event15),Tab Click (event17),Form Start (event20),Form Complete (event21),Form Error Count (event22),Form Selected Count (event23),Sidebar Opened (event34),Sidebar Closed (event35),Playbook Clicked (event36),Playbook Dismissed (event37),Conversation Started (event38),Message Sent (event39),Message Receieved (event40),Email Captured (event41),Phone Captured (event42),Meeting Requested (event43),Meeting Booked (event44),Forms On Page (event45)
https://stg.procore.com/,procorestaging,200,stg.procore.com|US|Home,Home,stg.procore.com,Before Unload,2019-07-31T11:42:27.748-07:00,8396357362,71714577693731072493299551516658275667,477258701.1564598540,stg.procore.com,/,7198,100,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,947401791,417128,456914,,,1295,177,8,11,25,270,72,2196,12,2713,1,1,1,1,1,1,,,,,,1,1,1,,,1,4,,,,,1
https://stg.procore.com/about?utm_medium=Social&utm_source=LinkedIn&utm_campaign=BRD&utm_term=Organic&utm_content=Jobsite_Constructions-up-and-coming-tech,procorestaging,200,stg.procore.com|US|Company|About,Company|About,stg.procore.com,Before Unload,2019-07-31T11:42:30.01-07:00,3870799874,71714577693731072493299551516658275667,477258701.1564598540,stg.procore.com,/about,7170,8,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,1295,1,1,1,1,769,72,1307,8,2100,,,,,,,,,,,,,,,,,,,,,,,1
https://stg.procore.com/blueprint,procorestaging,200,stg.procore.com|US|Resource|Blueprint,Resource|Blueprint,stg.procore.com,Before Unload,2019-07-31T11:42:32.70-07:00,7186275581,71714577693731072493299551516658275667,477258701.1564598540,stg.procore.com,/blueprint,7571,8,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,1295,1,1,1,1,396,75,1268,7,1684,,,,,,,,,,,,,,,,,,,,,,,1
https://stg.procore.com/buildersclub,procorestaging,200,stg.procore.com|US|Resource|Builders Club,Resource|Builders Club,stg.procore.com,Before Unload,2019-07-31T11:42:35.381-07:00,4881394723,71714577693731072493299551516658275667,477258701.1564598540,stg.procore.com,/buildersclub,3973,100,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,1295,2,1,1,1,341,11,1965,8,2331,1,1,1,1,1,1,,,,,,,,,,,,,,,,,1
https://stg.procore.com/certification,procorestaging,200,stg.procore.com|US|Resource|Certification,Resource|Certification,stg.procore.com,Before Unload,2019-07-31T11:42:37.424-07:00,5502990419,71714577693731072493299551516658275667,477258701.1564598540,stg.procore.com,/certification,6161,10,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,1228|1295,40,1,1,1,382,1,1425,5,1866,1,,,,,,,,,,,,,,,,,,,,,,2
https://stg.procore.com/construction-financials?utm_medium=Social&utm_source=LinkedIn&utm_campaign=BRD&utm_term=Organic&utm_content=Jobsite_Constructions-up-and-coming-tech,procorestaging,200,stg.procore.com|US|Product|Construction Financials|Overview,Product|Construction Financials|Overview,stg.procore.com,Before Unload,2019-07-31T11:42:40.843-07:00,7602871695,71714577693731072493299551516658275667,477258701.1564598540,stg.procore.com,/construction-financials,5788,10,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,1295,2,1,1,1,508,1,2510,7,3053,1,,,,,,,,,,,,,,,,,,,,,,1
https://stg.procore.com/construction-financials/accounting-integrations,procorestaging,200,stg.procore.com|US|Product|Construction Financials|Accounting Integrations,Product|Construction Financials|Accounting Integrations,stg.procore.com,Before Unload,2019-07-31T11:42:43.990-07:00,8016685160,71714577693731072493299551516658275667,477258701.1564598540,stg.procore.com,/construction-financials/accounting-integrations,8928,7,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,1295,1,1,1,1,392,74,2337,6,2750,,,,,,,,,,,,,,,,,,,,,,,1
https://stg.procore.com/continuing-education,procorestaging,200,stg.procore.com|US|Resource|Continuing Education,Resource|Continuing Education,stg.procore.com,Before Unload,2019-07-31T11:42:46.259-07:00,2424981938,71714577693731072493299551516658275667,477258701.1564598540,stg.procore.com,/continuing-education,3913,15,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,1295,1,1,1,1,491,1,1247,7,1763,1,,,,,,,,,,,,,,,,,,,,,,1
https://stg.procore.com/demo,procorestaging,200,stg.procore.com|US|Marketing|Demo,Marketing|Demo,stg.procore.com,Before Unload,2019-07-31T11:42:48.122-07:00,3780745833,71714577693731072493299551516658275667,477258701.1564598540,stg.procore.com,/demo,2721,22,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,4876|1295,2,1,1,1,141,79,1502,6,1713,1,,,,,,,,,,,,,,,,,,,,,,2
https://stg.procore.com/en-au,procorestaging,200,stg.procore.com|AU|Home,Home,stg.procore.com,Before Unload,2019-07-31T11:42:50.847-07:00,6983208463,71714577693731072493299551516658275667,477258701.1564598540,stg.procore.com,/en-au,6494,100,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,1295,2,1,1,1,690,74,1272,7,1983,1,1,1,1,1,1,,,,,,,,,,,,,,,,,1
https://stg.procore.com/en-au/about,procorestaging,200,stg.procore.com|AU|Company|About,Company|About,stg.procore.com,Before Unload,2019-07-31T11:42:52.746-07:00,7730333376,71714577693731072493299551516658275667,477258701.1564598540,stg.procore.com,/en-au/about,7117,8,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,1295,1,1,1,1,326,78,1382,4,1727,,,,,,,,,,,,,,,,,,,,,,,1
https://stg.procore.com/en-au/blueprint,procorestaging,200,stg.procore.com|AU|Resource|Blueprint,Resource|Blueprint,stg.procore.com,Before Unload,2019-07-31T11:42:55.313-07:00,6348912316,71714577693731072493299551516658275667,477258701.1564598540,stg.procore.com,/en-au/blueprint,7599,100,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,1295,1,1,1,1,331,75,1296,11,1682,1,1,1,1,1,1,,,,,,,,,,,,,,,,,1
https://stg.procore.com/en-au/buildersclub,procorestaging,200,stg.procore.com|AU|Resource|Builders Club,Resource|Builders Club,stg.procore.com,Before Unload,2019-07-31T11:42:57.952-07:00,9598257307,71714577693731072493299551516658275667,477258701.1564598540,stg.procore.com,/en-au/buildersclub,3945,15,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,1295,1,1,1,1,594,1,1442,10,2070,1,,,,,,,,,,,,,,,,,,,,,,1
https://stg.procore.com/en-au/certification?utm_medium=Social&utm_source=LinkedIn&utm_campaign=BRD&utm_term=Organic&utm_content=Jobsite_Constructions-up-and-coming-tech,procorestaging,200,stg.procore.com|AU|Resource|Certification,Resource|Certification,stg.procore.com,Before Unload,2019-07-31T11:43:00.396-07:00,1030655829,71714577693731072493299551516658275667,477258701.1564598540,stg.procore.com,/en-au/certification,6161,10,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,1228|1295,3,1,1,1,666,5,1526,4,2214,1,,,,,,,,,,,,,,,,,,,,,,2
